                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.08531,                0.89849,                      1,                0.51415,               0.003169,               0.003169,               0.003169
                     71,                 0.0855,                0.89928,                      1,                0.51378,                0.00307,                0.00307,                0.00307
                     72,                0.08417,                0.89968,                      1,                0.51345,               0.002971,               0.002971,               0.002971
                     73,                0.08206,                0.90088,                      1,                0.51312,               0.002872,               0.002872,               0.002872
                     74,                0.08164,                0.90088,                      1,                0.51282,               0.002773,               0.002773,               0.002773
                     75,                0.07938,                0.90167,                      1,                0.51246,               0.002674,               0.002674,               0.002674
                     76,                0.07717,                0.90346,                      1,                0.51214,               0.002575,               0.002575,               0.002575
                     77,                0.07586,                0.90426,                      1,                0.51184,               0.002476,               0.002476,               0.002476
                     78,                0.07671,                0.90486,                      1,                0.51154,               0.002377,               0.002377,               0.002377
                     79,                0.07323,                0.90486,                      1,                0.51125,               0.002278,               0.002278,               0.002278
                     80,                0.07144,                0.90506,                      1,                0.51094,               0.002179,               0.002179,               0.002179
                     81,                0.06886,                0.90645,                      1,                 0.5106,                0.00208,                0.00208,                0.00208
                     82,                0.06818,                0.90645,                      1,                0.51031,               0.001981,               0.001981,               0.001981
                     83,                0.06497,                0.90665,                      1,                   0.51,               0.001882,               0.001882,               0.001882
                     84,                0.06515,                0.90685,                      1,                0.50967,               0.001783,               0.001783,               0.001783
                     85,                0.06564,                0.90744,                      1,                0.50936,               0.001684,               0.001684,               0.001684
                     86,                0.06203,                0.90725,                      1,                0.50905,               0.001585,               0.001585,               0.001585
                     87,                0.05787,                0.90764,                      1,                0.50875,               0.001486,               0.001486,               0.001486
                     88,                0.05932,                0.90705,                      1,                0.50848,               0.001387,               0.001387,               0.001387
                     89,                0.05625,                0.90725,                      1,                 0.5082,               0.001288,               0.001288,               0.001288
                     90,                0.05483,                0.90764,                      1,                0.50787,               0.001189,               0.001189,               0.001189
                     91,                0.05422,                0.90764,                      1,                 0.5076,                0.00109,                0.00109,                0.00109
                     92,                0.05108,                0.90744,                      1,                0.50738,               0.000991,               0.000991,               0.000991
                     93,                0.04926,                0.90884,                      1,                0.50708,               0.000892,               0.000892,               0.000892
                     94,                0.04946,                0.90924,                      1,                0.50682,               0.000793,               0.000793,               0.000793
                     95,                0.04697,                0.90983,                      1,                 0.5065,               0.000694,               0.000694,               0.000694
                     96,                0.04736,                0.91043,                      1,                 0.5062,               0.000595,               0.000595,               0.000595
                     97,                0.04455,                0.91123,                      1,                0.50587,               0.000496,               0.000496,               0.000496
                     98,                0.04437,                0.91242,                      1,                0.50557,               0.000397,               0.000397,               0.000397
                     99,                0.04363,                0.91222,                      1,                0.50527,               0.000298,               0.000298,               0.000298
